4506,大日本住友製薬,https://www.ds-pharma.co.jp/ir/rss/irnews.xml
4510,中外製薬,https://www.chugai-pharm.co.jp/rss/ir_new.php
4523,エーザイ,https://www.eisai.co.jp/irupdate/index.rdf
4578,大塚ホールディングス,https://www.otsuka.com/jp/ir/rss.php
3105,日清紡ホールディングス,https://www.nisshinbo.co.jp/ir/index.xml
6479,ミネベアミツミ,https://www.minebeamitsumi.com/corp/investors/rss/index.xml
6501,日立製作所,http://www.hitachi.co.jp/IR/rss/topics.xml
6504,富士電機,https://www.fujielectric.co.jp/about/ir/rss/rss.xml
6506,安川電機,https://www.yaskawa.co.jp/feed?post_type=ir-news&y
6645,オムロン,https://www.omron.co.jp/ir/rss/rss.xml
